Sample,Altitude,Melanism,Group
1,880,215.73,Low
2,790,215.08,Low
3,790,209.78,Low
4,790,217.39,Low
5,790,209.08,Low
6,880,204.688,Low
7,880,211.865,Low
8,880,222.455,Low
9,880,203.95,Low
10,880,210.08,Low
11,880,214.348,Low
12,880,217,Low
13,880,220.8,Low
14,880,205.126,Low
15,880,204.62,Low
16,880,221.58,Low
17,880,218.89,Low
18,880,208.42,Low
19,880,221,Low
20,1320,208.48,Middle
21,1320,205.066,Middle
22,1320,193.8,Middle
23,1320,200.486,Middle
24,1320,200.85,Middle
25,1320,204.24,Middle
26,1610,217.784,Middle
27,1610,212.201,Middle
28,1610,209.25,Middle
29,1610,208.5,Middle
30,1610,207.4,Middle
31,1610,204,Middle
32,1610,197.5,Middle
33,1610,212.47,Middle
34,1610,208.67,Middle
35,1610,209.2,Middle
36,1610,207,Middle
37,1610,200.54,Middle
38,1610,207.27,Middle
39,1610,203.61,Middle
40,1610,203.92,Middle
41,1810,204.47,High
42,1810,205.77,High
43,1810,214.9,High
44,1810,217.13,High
45,2300,203.21,High
46,2300,201.48,High
47,2300,203.62,High
48,2300,204.35,High
49,2300,205.618,High
50,2300,211.781,High
51,1610,202.39,High
52,1610,201.973,High
53,1610,198.3,High
54,1610,205.387,High
55,1610,206.922,High
56,1610,195.848,High
57,1810,197.659,High
58,1810,204.69,High
59,1810,212.62,High
60,1810,204.82,High
61,1810,209.7,High
62,1810,211.52,High
