,X1,X1_1,Date,Hour,Species,Sex,Body_length,Body_temp,Body_temp_tc,Ta,Ts,Substrate,Direction,Solar_rad,Wind_speed,Tex,Tex_s,Tex_tc,Tex_tcs,Jul_day,Hours,Day_mins,Months,Date_mins
1,1,1,1.08.2018,09:53:00,Parvilacerta_parva,M,127.7,34.9,20.3,22,27,soil,S,733,3.4,12.9,7.9,-1.7,-6.7,213,9,593,8,305873
2,2,2,1.08.2018,09:56:00,Parvilacerta_parva,F,118.4,34.3,25.1,22,29.6,soil,S,702,3.6,12.3,4.7,3.1,-4.5,213,9,596,8,305876
3,3,3,1.08.2018,10:02:00,Parvilacerta_parva,F,123.4,37.6,20.4,22,31,soil,S,790,3.6,15.6,6.6,-1.6,-10.6,213,10,602,8,305882
4,4,4,1.08.2018,10:07:00,Parvilacerta_parva,M,111.2,32.1,30.4,22,26.5,soil,S,689,5.3,10.1,5.6,8.4,3.9,213,10,607,8,305887
5,5,5,1.08.2018,10:13:00,Parvilacerta_parva,M,64.6,34.4,26.9,22,29.8,soil,S,637,3.1,12.4,4.6,4.9,-2.9,213,10,613,8,305893
6,6,6,1.08.2018,10:19:00,Parvilacerta_parva,F,144.8,35.3,25.6,22,32.3,grass,S,760,3.6,13.3,3,3.6,-6.7,213,10,619,8,305899
7,7,7,1.08.2018,10:24:00,Parvilacerta_parva,J,152.5,40,27.1,22,33.1,soil,S,859,5.8,18,6.9,5.1,-6,213,10,624,8,305904
8,8,8,1.08.2018,10:29:00,Parvilacerta_parva,M,151.5,34.7,27.7,22,34.4,soil,S,666,6.1,12.7,0.3,5.7,-6.7,213,10,629,8,305909
9,9,9,1.08.2018,10:35:00,Parvilacerta_parva,F,143.1,34,25.9,22,30.5,soil,S,701,6.8,12,3.5,3.9,-4.6,213,10,635,8,305915
10,10,10,1.08.2018,10:43:00,Parvilacerta_parva,F,123.1,36,29.8,22,30.9,soil,S,591,5.9,14,5.1,7.8,-1.1,213,10,643,8,305923
11,11,11,1.08.2018,10:46:00,Parvilacerta_parva,F,115.3,39.2,22,22,28.3,soil,SE,761,5.6,17.2,10.9,0,-6.3,213,10,646,8,305926
12,12,12,1.08.2018,10:51:00,Parvilacerta_parva,M,135.4,35,22.5,22,30.5,soil,SE,632,2,13,4.5,0.5,-8,213,10,651,8,305931
13,13,13,1.08.2018,10:53:00,Parvilacerta_parva,M,152.7,33.1,25.9,22,28.8,soil,SE,617,4.9,11.1,4.3,3.9,-2.9,213,10,653,8,305933
14,14,14,1.08.2018,10:56:00,Parvilacerta_parva,M,141.9,33.6,24.2,23,27,grass,SE,682,7.2,10.6,6.6,1.2,-2.8,213,10,656,8,305936
15,15,15,1.08.2018,11:00:00,Parvilacerta_parva,F,108.7,35.8,23.1,23,32.8,soil,SE,703,6.2,12.8,3,0.1,-9.7,213,11,660,8,305940
16,16,16,1.08.2018,13:35:00,Lacerta_diplochondrodes,M,329.7,30,33.1,25,29.7,grass,SW,748,4.8,5,0.3,8.1,3.4,213,13,815,8,306095
17,17,17,1.08.2018,14:04:00,Lacerta_diplochondrodes,M,308.4,32.5,30.5,25,33.1,grass,SW,738,5.4,7.5,-0.6,5.5,-2.6,213,14,844,8,306124
18,18,18,1.08.2018,14:34:00,Lacerta_diplochondrodes,F,330.7,30.4,26.7,25,32.7,grass,SW,791,3.6,5.4,-2.3,1.7,-6,213,14,874,8,306154
19,19,19,1.08.2018,14:57:00,Lacerta_diplochondrodes,F,333.5,32.3,32.7,25,30.5,soil,SW,742,3.9,7.3,1.8,7.7,2.2,213,14,897,8,306177
20,20,20,1.08.2018,15:09:00,Lacerta_diplochondrodes,F,329.5,29.8,32,25,30.4,grass,SW,669,5.3,4.8,-0.6,7,1.6,213,15,909,8,306189
21,21,21,1.08.2018,15:35:00,Lacerta_diplochondrodes,M,347.2,33.8,32.3,26,32.4,grass,SW,670,3.6,7.8,1.4,6.3,-0.1,213,15,935,8,306215
22,22,22,1.08.2018,16:03:00,Lacerta_diplochondrodes,M,345.7,33.9,33.7,26,31.1,grass,SW,637,4.5,7.9,2.8,7.7,2.6,213,16,963,8,306243
23,23,23,1.08.2018,16:34:00,Lacerta_diplochondrodes,M,345.8,33.3,34.8,26,29,soil,SW,756,4.9,7.3,4.3,8.8,5.8,213,16,994,8,306274
24,24,24,1.08.2018,17:06:00,Lacerta_diplochondrodes,F,359,31.6,28.5,26,31.3,soil,SW,736,3.1,5.6,0.3,2.5,-2.8,213,17,1026,8,306306
25,25,25,1.08.2018,17:33:00,Lacerta_diplochondrodes,F,302.6,31.7,30.7,26,33.2,grass,SW,748,4.5,5.7,-1.5,4.7,-2.5,213,17,1053,8,306333
26,26,26,1.09.2018,14:20:00,Lacerta_diplochondrodes,F,368.5,31.6,29.9,28,30.6,grass,S,686,7.7,3.6,1,1.9,-0.7,244,14,860,9,350780
27,27,27,1.09.2018,14:50:00,Lacerta_diplochondrodes,F,280.6,30.7,31.2,28,28.2,grass,S,732,4.6,2.7,2.5,3.2,3,244,14,890,9,350810
28,28,28,1.09.2018,15:05:00,Lacerta_diplochondrodes,M,337.1,33.2,27.7,27,28.2,grass,S,721,9.3,6.2,5,0.7,-0.5,244,15,905,9,350825
29,29,29,1.09.2018,15:08:00,Parvilacerta_parva,F,136,33.2,37.5,29,36.9,grass,SE,632,3,4.2,-3.7,8.5,0.6,244,15,908,9,350828
30,30,30,1.09.2018,15:11:00,Parvilacerta_parva,F,116.9,38,32.4,29,34.9,soil,S,742,6.7,9,3.1,3.4,-2.5,244,15,911,9,350831
